A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
processResources - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,782,788,782,788,testurloutput,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\ResourceOutputTest.java,119,131,119,131,0.518621,
processResources - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,782,788,782,788,testAttributes,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,44,51,44,51,0.683193,
processResources - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,782,788,782,788,testFile,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,64,69,64,69,0.622980,
processResources - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,782,788,782,788,testBasedirAndName,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,72,77,72,77,0.624641,
processResources - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,782,788,782,788,testNonImmediateBasedirAndName,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,80,85,80,85,0.614020,
processResources - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,782,788,782,788,testProjectAndFilename,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,88,95,88,95,0.609397,
processResources - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,782,788,782,788,testGetXyzSource,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\LoaderUtilsTest.java,32,41,32,41,0.571368,
processResources - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,782,788,782,788,detectsFileTypeOfDirectoryFromResource,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\PermissionUtilsTest.java,93,100,93,100,0.530515,
setLiaisonDynamicFileParameters,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1367,1379,1367,1379,test4,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ConcatTest.java,114,126,114,126,0.515971,
setLiaisonDynamicFileParameters,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1367,1379,1367,1379,testPath,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ConcatTest.java,158,170,158,170,0.519304,
setLiaisonDynamicFileParameters,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1367,1379,1367,1379,testAppend,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ConcatTest.java,173,185,173,185,0.516710,
setLiaisonDynamicFileParameters,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1367,1379,1367,1379,testFileResourceWithFilter,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\CopyTest.java,209,219,209,219,0.525591,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,renameFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,801,812,801,812,0.605273,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,getResourcesToAdd - for - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1399,1407,1399,1407,0.588341,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,getResource,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\FileResource.java,401,408,401,408,0.673195,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testFilterReaderNoArgs,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\filters\ConcatFilterTest.java,74,80,74,80,0.513342,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testEscapeUnicode,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\filters\EscapeUnicodeTest.java,43,48,43,48,0.514528,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testLineContains,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\filters\LineContainsTest.java,44,49,44,49,0.514528,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testLineContainsMatchAny,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\filters\LineContainsTest.java,62,67,62,67,0.514528,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testLineContainsMatchAnyNegate,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\filters\LineContainsTest.java,76,81,76,81,0.514528,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testStripJavaComments,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\filters\StripJavaCommentsTest.java,44,49,44,49,0.514528,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,test3,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ConcatTest.java,100,108,100,108,0.646439,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testNoOverwrite,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ConcatTest.java,194,199,194,199,0.559834,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testOverwrite,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ConcatTest.java,202,207,202,207,0.559830,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testFilterSet,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\CopyTest.java,120,127,120,127,0.510823,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testFilterChain,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\CopyTest.java,130,137,130,137,0.510823,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testFilterSet,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\MoveTest.java,50,56,50,56,0.510823,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testFilterChain,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\MoveTest.java,59,65,59,65,0.510823,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testIso8859_1,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\optional\Native2AsciiTest.java,49,54,49,54,0.533933,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testDontAddNewline1,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\optional\ReplaceRegExpTest.java,86,90,86,90,0.528405,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testDontAddNewline2,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\optional\ReplaceRegExpTest.java,93,97,93,97,0.528405,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testgenericantfile,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\SubAntTest.java,57,66,57,66,0.514852,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testantfile,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\SubAntTest.java,69,83,69,83,0.514852,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,getTargetTime,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\TouchTest.java,55,61,55,61,0.683006,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testRelativeFactoryResource,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,98,104,98,104,0.505412,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testParentSiblingFactoryResource,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,117,123,117,123,0.508174,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testNullArgs,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\FileUtilsTest.java,342,349,342,349,0.558913,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,testRemoveLeadingPath - if,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\FileUtilsTest.java,456,461,456,461,0.539719,
setLiaisonDynamicFileParameters - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\XSLTProcess.java,1371,1378,1371,1378,isLeadingPathCanonicalVersionCannotBeFooledByTooManyDoubleDots,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\FileUtilsTest.java,625,629,625,629,0.526672,
renameFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,801,812,801,812,getResourcesToAdd - for - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1399,1407,1399,1407,0.553360,
renameFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,801,812,801,812,getResource,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\FileResource.java,401,408,401,408,0.508911,
renameFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,801,812,801,812,test3,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ConcatTest.java,100,108,100,108,0.548911,
renameFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,801,812,801,812,testFileResourceWithFilter,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\CopyTest.java,209,219,209,219,0.564061,
renameFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,801,812,801,812,getTargetTime,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\TouchTest.java,55,61,55,61,0.579521,
renameFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,801,812,801,812,testZipgroupfileset,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ZipTest.java,129,143,129,143,0.515485,
renameFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,801,812,801,812,isLeadingPathCannotBeFooledByTooManyDoubleDots,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\FileUtilsTest.java,615,619,615,619,0.500167,
renameFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,801,812,801,812,isLeadingPathCanonicalVersionCannotBeFooledByTooManyDoubleDots,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\FileUtilsTest.java,625,629,625,629,0.502870,
closeZout,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,816,836,816,836,encodedata,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\util\DOMElementWriter.java,486,494,486,494,0.503535,
processDoUpdate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,872,880,872,880,getResourcesToAdd - if - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1352,1363,1352,1363,0.772333,
addResources - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,949,954,949,954,removeExtraneousAuthority,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\FileUtilsTest.java,523,530,523,530,0.520810,
addResource - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1070,1085,1070,1085,testFile,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\zip\UTF8ZipFilesTest.java,189,207,189,207,0.501909,
addResource - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1085,1091,1085,1091,zipFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1894,1906,1894,1906,0.508044,
addResources - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1113,1150,1113,1150,isSelected,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\modifiedselector\ModifiedSelector.java,435,468,435,468,0.529631,
getResourcesToAdd - for - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1399,1407,1399,1407,test3,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\ConcatTest.java,100,108,100,108,0.544837,
getResourcesToAdd - for - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1399,1407,1399,1407,getTargetTime,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\TouchTest.java,55,61,55,61,0.610814,
getResourcesToAdd - for - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1399,1407,1399,1407,testParentSiblingFactoryResource,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,117,123,117,123,0.541934,
getResourcesToAdd - for - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1399,1407,1399,1407,testNullArgs,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\FileUtilsTest.java,342,349,342,349,0.511629,
zipFile - if - do,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1840,1845,1840,1845,setBufferSize - if - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\util\LeadPipeInputStream.java,115,121,115,121,0.571050,
addParentDirs - if - while,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1934,1943,1934,1943,testAttributes,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,44,51,44,51,0.554642,
addParentDirs - if - while,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1934,1943,1934,1943,testNonImmediateBasedir,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,54,61,54,61,0.547742,
cleanUp,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1961,1970,1961,1970,reset,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Zip.java,1980,1992,1980,1992,0.521108,
setRefid,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,120,131,120,131,setRefid,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\Files.java,84,95,84,95,0.967728,
setRefid,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,120,131,120,131,setRefid,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\ResourceList.java,126,134,126,134,0.633229,
createPatternSet,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,175,183,175,183,hasPatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,604,611,604,611,0.608285,
createPatternSet,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,175,183,175,183,mergePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,964,972,964,972,0.531014,
createPatternSet,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,175,183,175,183,createPatternSet,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\Files.java,101,110,101,110,0.933265,
createPatternSet,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,175,183,175,183,hasPatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\Files.java,353,360,353,360,0.685847,
setFile - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,243,249,243,249,appendIncludes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,282,292,282,292,0.588650,
setFile - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,243,249,243,249,appendIncludes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\Files.java,180,188,180,188,0.621842,
appendIncludes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,282,292,282,292,setIncludes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\PatternSet.java,338,348,338,348,0.522731,
appendExcludes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,317,327,317,327,setExcludes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\PatternSet.java,356,366,356,366,0.536167,
hasPatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,604,611,604,611,mergePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,964,972,964,972,0.619007,
hasPatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,604,611,604,611,createPatternSet,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\Files.java,101,110,101,110,0.584357,
hasPatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,604,611,604,611,mergePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\Files.java,434,443,434,443,0.609843,
getSelectors,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,633,639,633,639,getIncludePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\PatternSet.java,465,472,465,472,0.527714,
getSelectors,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,633,639,633,639,getExcludePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\PatternSet.java,479,486,479,486,0.519781,
getSelectors,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,633,639,633,639,getSelectors,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\AbstractSelectorContainer.java,76,83,76,83,0.869967,
toString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,899,906,899,906,iterator,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\ArchiveFileSet.java,340,349,340,349,0.565334,
toString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,899,906,899,906,size,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\ArchiveFileSet.java,357,366,357,366,0.591260,
toString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,899,906,899,906,iterator,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\DirSet.java,67,73,67,73,0.595749,
toString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,899,906,899,906,iterator,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\FileSet.java,66,72,66,72,0.627386,
toString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,899,906,899,906,iterator,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\BCFileSet.java,51,59,51,59,0.532104,
toString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,899,906,899,906,size,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\BCFileSet.java,67,73,67,73,0.682107,
mergePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,964,972,964,972,createPatternSet,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\Files.java,101,110,101,110,0.522729,
mergePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,964,972,964,972,mergePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\Files.java,434,443,434,443,0.976443,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\FilterChain.java,400,414,400,414,0.752386,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\PropertySet.java,545,560,545,560,0.732076,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\BaseResourceCollectionContainer.java,187,201,187,201,0.647013,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\MappedResourceCollection.java,199,215,199,215,0.805433,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\ResourceList.java,187,204,187,204,0.672778,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\Resources.java,241,255,241,255,0.646397,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\selectors\ResourceSelectorContainer.java,123,137,123,137,0.655247,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\AbstractSelectorContainer.java,352,366,352,366,0.708971,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\BaseSelectorContainer.java,349,363,349,363,0.708971,
dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,976,988,976,988,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\XMLCatalog.java,453,468,453,468,0.736221,
dieOnCircularReference - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,982,987,982,987,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AntFilterReader.java,163,175,163,175,0.553163,
dieOnCircularReference - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,982,987,982,987,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\ArchiveFileSet.java,588,602,588,602,0.555937,
dieOnCircularReference - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,982,987,982,987,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\optional\depend\ClassfileSet.java,170,184,170,184,0.534260,
dieOnCircularReference - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,982,987,982,987,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\Path.java,496,508,496,508,0.533095,
dieOnCircularReference - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,982,987,982,987,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\AbstractClasspathResource.java,241,253,241,253,0.553163,
dieOnCircularReference - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,982,987,982,987,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\AbstractResourceCollectionWrapper.java,160,172,160,172,0.655626,
dieOnCircularReference - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\AbstractFileSet.java,982,987,982,987,dieOnCircularReference,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\ArchiveResource.java,289,301,289,301,0.544989,
