A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
getClasspath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,542,551,542,551,toForkedRepresentation - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\SingleTestClass.java,114,123,114,123,0.732559,
getClasspath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,542,551,542,551,rtrimWildcardTokens - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\TokenizedPattern.java,142,151,142,151,0.539204,
getClasspath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,542,551,542,551,native2ascii,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\util\Native2AsciiUtils.java,35,45,35,45,0.637109,
getClasspath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,542,551,542,551,assertEqualsIgnoreDriveCase - if,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\ProjectTest.java,191,197,191,197,0.591223,
getClasspath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,542,551,542,551,assertEqualsIgnoreDriveCase - if,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\FileUtilsTest.java,699,705,699,705,0.591223,
getClasspath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,542,551,542,551,doesntTouchAscii,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\Native2AsciiUtilsTest.java,27,33,27,33,0.585327,
getClasspath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,542,551,542,551,doesntTouchNonEscapes,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\util\Native2AsciiUtilsTest.java,48,54,48,54,0.585327,
forceLoadClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,651,660,651,660,forceLoadSystemClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,678,687,678,687,0.995200,
getResourceAsStream - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,714,726,714,726,getResource - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,877,887,877,887,0.703061,
getResourceAsStream - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,714,726,714,726,resolveEntity - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ejb\DescriptorHandler.java,206,213,206,213,0.518425,
getResourceAsStream - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,714,726,714,726,testParentSiblingFactoryResource,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\types\resources\FileResourceTest.java,117,123,117,123,0.502027,
getResource,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,857,892,857,892,execute - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Definer.java,237,281,237,281,0.618215,
getResource,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,857,892,857,892,urlLookup,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\XMLCatalog.java,732,783,732,783,0.598808,
getResource - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,866,876,866,876,getFile,E:\apach_ant\20181106\ant\src\tests\junit\org\apache\tools\ant\taskdefs\optional\AbstractXSLTLiaisonTest.java,68,74,68,74,0.535505,
getResource - else - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,869,875,869,875,getStylesheetSystemId - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\AggregateTransformer.java,362,368,362,368,0.551652,
getResource - else - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,869,875,869,875,getURL - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\URLResource.java,149,159,149,159,0.516366,
append,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,967,970,967,970,getIndividualTests,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTask.java,1662,1666,1662,1666,0.623260,
