A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
read - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\LineContains.java,122,129,122,129,read - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\StripLineComments.java,101,108,101,108,1.000000,
initialize - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\LineContains.java,262,270,262,270,initialize - if - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\LineContainsRegExp.java,236,244,236,244,0.900484,
read - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\LineContainsRegExp.java,111,118,111,118,read - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\SortFilter.java,202,213,202,213,1.000000,
read - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\LineContainsRegExp.java,111,118,111,118,read - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\StripLineComments.java,101,108,101,108,1.000000,
initialize,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\PrefixLines.java,153,163,153,163,initialize,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\SuffixLines.java,163,173,163,173,0.914894,
read - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\SortFilter.java,202,213,202,213,read - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\StripLineComments.java,101,108,101,108,1.000000,
initialize,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\TokenFilter.java,469,485,469,485,initialize,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\filters\TokenFilter.java,537,553,537,553,0.990950,
endPrefixMapping,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\helper\AntXMLContext.java,374,380,374,380,getPrefixMapping,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\helper\AntXMLContext.java,388,394,388,394,0.966195,
characters,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\helper\ProjectHelper2.java,466,472,466,472,characters,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\helper\ProjectHelperImpl.java,246,252,246,252,0.935484,
extractBuildException,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,795,801,795,801,toBuildException,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\util\ReflectUtil.java,187,197,187,197,0.953313,
createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1027,1037,1027,1037,createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1039,1047,1039,1047,0.911147,
createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1039,1047,1039,1047,createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1088,1096,1088,1096,0.941901,
createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1039,1047,1039,1047,createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1098,1106,1098,1106,0.923248,
createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1088,1096,1088,1096,createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1098,1106,1098,1106,0.980196,
createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1088,1096,1088,1096,createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1109,1117,1109,1117,0.949563,
createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1098,1106,1098,1106,createAttributeSetter - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\IntrospectionHelper.java,1109,1117,1109,1117,0.930758,
handleArgListener,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Main.java,527,537,527,537,handleArgPropertyFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Main.java,600,609,600,609,0.933700,
executeSortedTargets - for - if - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,1402,1411,1402,1411,executeSortedTargets - for - if - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,1411,1421,1411,1421,0.953049,
executeSortedTargets - for - if - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,1402,1411,1402,1411,execute - for - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\SubAnt.java,247,255,247,255,0.958541,
executeSortedTargets - for - if - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,1402,1411,1402,1411,execute - for - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\SubAnt.java,255,264,255,264,0.909475,
executeSortedTargets - for - if - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,1411,1421,1411,1421,execute - for - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\SubAnt.java,247,255,247,255,0.921899,
executeSortedTargets - for - if - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,1411,1421,1411,1421,execute - for - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\SubAnt.java,255,264,255,264,0.924979,
fireBuildFinished,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,2085,2093,2085,2093,fireTargetFinished,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,2154,2161,2154,2161,0.924830,
fireSubBuildStarted,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,2101,2108,2101,2108,fireSubBuildFinished,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Project.java,2119,2127,2119,2127,0.968564,
log,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ProjectComponent.java,147,158,147,158,log,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Task.java,290,296,290,296,0.903278,
extractUriFromComponentName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ProjectHelper.java,509,518,509,518,extractNameFromComponentName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ProjectHelper.java,526,532,526,532,0.952786,
addLocal,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\property\LocalPropertyStack.java,46,53,46,53,getMapForProperty,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\property\LocalPropertyStack.java,151,160,151,160,0.912159,
setUserProperty,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\PropertyHelper.java,735,744,735,744,setInheritedProperty,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\PropertyHelper.java,780,791,780,791,0.980138,
copyInheritedProperties,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\PropertyHelper.java,974,984,974,984,copyUserProperties,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\PropertyHelper.java,1001,1011,1001,1011,0.912421,
applyPreSet - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\RuntimeConfigurable.java,590,596,590,596,applyPreSet - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\UnknownElement.java,400,406,400,406,0.961039,
log,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Task.java,290,296,290,296,log,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\Task.java,323,329,323,329,0.986754,
getOutputStream - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\AbstractCvsTask.java,202,211,202,211,getErrorStream - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\AbstractCvsTask.java,240,250,240,250,0.948016,
