A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\Image.java,196,203,196,203,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\MappingSelector.java,62,68,62,68,0.951220,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\Image.java,196,203,196,203,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\PresentSelector.java,85,91,85,91,0.951220,
processDir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\Image.java,225,269,225,269,processDir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\ImageIOTask.java,209,253,209,253,1.000000,
execute,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\Image.java,340,374,340,374,execute,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\ImageIOTask.java,331,365,331,365,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\ImageIOTask.java,180,187,180,187,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\UpToDate.java,129,136,129,136,1.000000,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\ImageIOTask.java,180,187,180,187,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\MappingSelector.java,62,68,62,68,0.951220,
createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\image\ImageIOTask.java,180,187,180,187,createMapper,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\selectors\PresentSelector.java,85,91,85,91,0.951220,
isActionValid,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\j2ee\JonasHotDeploymentTool.java,232,242,232,242,isActionValid,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\j2ee\WebLogicHotDeploymentTool.java,144,153,144,153,1.000000,
compile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\javah\Gcjh.java,39,50,39,50,compile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\javah\Kaffeh.java,44,55,44,55,0.978723,
setupGcjhCommand,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\javah\Gcjh.java,52,87,52,87,setupKaffehCommand,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\javah\Kaffeh.java,57,92,57,92,1.000000,
addClasspathEntry,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\jdepend\JDependTask.java,359,384,359,384,addClasspathResource,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTask.java,1817,1844,1817,1844,0.959547,
executeAsForked - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\jdepend\JDependTask.java,563,574,563,574,checkIncludeAntRuntime,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTask.java,1322,1335,1322,1335,0.909750,
getEntryName - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\jlink\jlink.java,277,288,277,288,processEntry - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\jlink\jlink.java,357,367,357,367,0.917872,
mangleChar,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\jsp\Jasper41Mangler.java,62,76,62,76,mangleChar,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\jsp\JspNameMangler.java,123,141,123,141,0.938761,
handleFlush,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTask.java,1490,1499,1490,1499,handleErrorFlush,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTask.java,1529,1538,1529,1538,0.919145,
addFailure,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTestRunner.java,737,743,737,743,addError,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTestRunner.java,765,771,765,771,0.982143,
registerNonCrash,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTestRunner.java,1204,1215,1204,1215,registerTestCase,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTestRunner.java,1217,1232,1217,1232,0.929077,
startTestSuite,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\PlainJUnitResultFormatter.java,101,111,101,111,write,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junit\PlainJUnitResultFormatter.java,302,312,302,312,0.904194,
generateCommandLine - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\ForkDefinition.java,128,132,128,132,generateCommandLine - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\ForkDefinition.java,135,142,135,142,0.978418,
writeFailed,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\LegacyXmlResultFormatter.java,277,292,277,292,writeAborted,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\LegacyXmlResultFormatter.java,294,309,294,309,0.960954,
requireAttributeValue,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\ListenerDefinition.java,200,206,200,206,requireAttributeValue,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\SingleTestClass.java,181,187,181,187,1.000000,
requireAttributeValue,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\ListenerDefinition.java,200,206,200,206,requireAttributeValue,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\TestClasses.java,159,165,159,165,1.000000,
toForkedRepresentation - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\SingleTestClass.java,137,145,137,145,toForkedRepresentation - for - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\TestClasses.java,111,119,111,119,1.000000,
requireAttributeValue,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\SingleTestClass.java,181,187,181,187,requireAttributeValue,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\junitlauncher\TestClasses.java,159,165,159,165,1.000000,
getN2aClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\native2ascii\KaffeNative2Ascii.java,79,88,79,88,getRmicClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\rmic\KaffeRmic.java,104,113,104,113,0.965581,
scan,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,361,389,361,389,scan,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,256,284,256,284,1.000000,
checkIncludePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,397,426,397,426,checkIncludePatterns,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,291,321,291,321,0.950807,
scanRoots,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,428,480,428,480,scanRoot,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,323,378,323,378,0.978766,
scandir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,490,551,490,551,scandir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,388,449,388,449,0.992218,
accountForIncludedFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,556,571,556,571,accountForIncludedFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,454,469,454,469,1.000000,
accountForIncludedDir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,580,618,580,618,accountForIncludedDir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,478,514,478,514,1.000000,
listFiles,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,658,685,658,685,listFiles,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,557,585,557,585,0.980871,
forceRemoteSensitivityCheck,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,687,695,687,695,forceRemoteSensitivityCheck,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,587,595,587,595,0.986394,
checkRemoteSensitivity,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,706,753,706,753,checkRemoteSensitivity,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,607,655,607,655,0.976431,
fiddleName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,755,767,755,767,fiddleName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,657,669,657,669,1.000000,
findPathElementCaseInsensitive,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,858,872,858,872,findPathElementCaseInsensitive,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,756,770,756,770,1.000000,
getRelativePath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,933,945,933,945,getRelativePath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,831,843,831,843,1.000000,
getRelativePath - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,958,978,958,978,getRelativePath - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,858,880,858,880,0.922204,
getFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,991,1002,991,1002,getFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,893,904,893,904,1.000000,
isFunctioningAsDirectory,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,1139,1179,1139,1179,isFunctioningAsDirectory,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1041,1081,1041,1081,0.965350,
setRetriesAllowed,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,1564,1582,1564,1582,setRetriesAllowed,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTask.java,589,608,589,608,1.000000,
checkAttributes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,1686,1724,1686,1724,checkAttributes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTask.java,736,774,736,774,1.000000,
createParents,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,1900,1951,1900,1951,createParents,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1276,1329,1276,1329,0.994487,
getTimeDiff,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,1958,1987,1958,1987,getTimeDiff,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1337,1365,1337,1365,0.993704,
findFileName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,1992,2020,1992,2020,findFileName,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1370,1398,1370,1398,0.998733,
isUpToDate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2035,2088,2035,2088,isUpToDate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1413,1464,1413,1464,0.949507,
doSiteCommand,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2098,2111,2098,2111,doSiteCommand,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1475,1489,1475,1489,0.940554,
sendFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2130,2175,2130,2175,sendFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1508,1552,1508,1552,0.900778,
delFile - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2191,2200,2191,2200,rmDir - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2221,2230,2221,2230,1.000000,
delFile - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2191,2200,2191,2200,delFile - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1568,1577,1568,1577,0.925820,
delFile - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2191,2200,2191,2200,rmDir - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1598,1607,1598,1607,0.925820,
rmDir - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2221,2230,2221,2230,delFile - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1568,1577,1568,1577,0.925820,
rmDir - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2221,2230,2221,2230,rmDir - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1598,1607,1598,1607,0.925820,
getFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2255,2304,2255,2304,getFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1631,1682,1631,1682,0.949541,
listFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2321,2332,2321,2332,listFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1699,1710,1699,1710,0.955925,
makeRemoteDir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2348,2391,2348,2391,makeRemoteDir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1725,1766,1725,1766,0.915444,
makeRemoteDir - while - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2371,2385,2371,2385,handleMkDirFailure,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2400,2406,2400,2406,0.974406,
makeRemoteDir - while - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2371,2385,2371,2385,handleMkDirFailure,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1775,1782,1775,1782,0.956847,
handleMkDirFailure,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2400,2406,2400,2406,handleMkDirFailure,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1775,1782,1775,1782,0.981981,
getAction,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2564,2587,2564,2587,getAction,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTask.java,877,901,877,901,0.984027,
getMilliseconds,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java,2628,2638,2628,2638,getMilliseconds,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTask.java,942,952,942,952,1.000000,
delFile,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1563,1582,1563,1582,rmDir,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1593,1612,1593,1612,0.909122,
makeRemoteDir - while - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1742,1755,1742,1755,handleMkDirFailure,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java,1775,1782,1775,1782,0.944911,
waitForString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\RExecTask.java,204,239,204,239,waitForString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\TelnetTask.java,346,383,346,383,0.987599,
sendString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\RExecTask.java,246,257,246,257,sendString,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\TelnetTask.java,390,401,390,401,1.000000,
addConfigured,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ReplaceRegExp.java,265,273,265,273,addConfigured,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\Replace.java,872,880,872,880,1.000000,
addConfigured,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ReplaceRegExp.java,265,273,265,273,add,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\SQLExec.java,336,346,336,346,0.903696,
execute - else - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\Rpm.java,151,161,151,161,execute - else - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\Rpm.java,166,176,166,176,0.991494,
getLocalPath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOS.java,359,376,359,376,getLocalpath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSS.java,486,503,486,503,0.910765,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSCheckin.java,74,102,74,102,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSLabel.java,69,93,69,93,0.964442,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSCheckin.java,74,102,74,102,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSADD.java,38,67,38,67,0.903432,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSCheckin.java,74,102,74,102,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKIN.java,36,67,36,67,0.908558,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSCheckin.java,74,102,74,102,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSHISTORY.java,39,72,39,72,0.908540,
buildCmdLine - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSCheckin.java,78,85,78,85,buildCmdLine - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSCheckout.java,67,74,67,74,0.993103,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSCheckout.java,63,86,63,86,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSLabel.java,69,93,69,93,0.945147,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSGet.java,83,117,83,117,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKOUT.java,37,72,37,72,0.919972,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSGet.java,83,117,83,117,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSGET.java,37,71,37,71,0.922956,
buildCmdLine - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSGet.java,87,100,87,100,buildCmdLine - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSGet.java,100,111,100,111,0.951071,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSLabel.java,69,93,69,93,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSADD.java,38,67,38,67,0.918768,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSLabel.java,69,93,69,93,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKIN.java,36,67,36,67,0.920211,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\sos\SOSLabel.java,69,93,69,93,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCREATE.java,35,63,35,63,0.918125,
trackProgress - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ssh\AbstractSshMessage.java,229,237,229,237,trackProgress - if - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ssh\AbstractSshMessage.java,237,245,237,245,0.911300,
doSingleTransfer,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ssh\ScpToMessage.java,240,264,240,264,doMultipleTransfer,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ssh\ScpToMessage.java,266,291,266,291,0.937836,
sendDirectory,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ssh\ScpToMessage.java,295,302,295,302,sendDirectory,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ssh\ScpToMessageBySftp.java,238,245,238,245,0.955681,
setLocaltunnels,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ssh\SSHSession.java,86,99,86,99,setRemotetunnels,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ssh\SSHSession.java,108,121,108,121,0.978541,
getSource,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\TraXLiaison.java,224,247,224,247,getSource,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\TraXLiaison.java,250,276,250,276,0.978576,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSADD.java,38,67,38,67,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKIN.java,36,67,36,67,0.994034,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSADD.java,38,67,38,67,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCREATE.java,35,63,35,63,0.987408,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKIN.java,36,67,36,67,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSHISTORY.java,39,72,39,72,0.989640,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKIN.java,36,67,36,67,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSLABEL.java,35,69,35,69,0.967207,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKOUT.java,37,72,37,72,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSGET.java,37,71,37,71,0.995159,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKOUT.java,37,72,37,72,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSHISTORY.java,39,72,39,72,0.989696,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSCHECKOUT.java,37,72,37,72,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSLABEL.java,35,69,35,69,0.966820,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSGET.java,37,71,37,71,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSHISTORY.java,39,72,39,72,0.986408,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSGET.java,37,71,37,71,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSLABEL.java,35,69,35,69,0.959757,
buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSHISTORY.java,39,72,39,72,buildCmdLine,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\vss\MSVSSLABEL.java,35,69,35,69,0.968303,
